id,location_category,golf_name,golf_address,golf_scale,golf_holes,golf_latitude,golf_longitude
1,경남,가곡파크골프장,경상남도 밀양시 가곡동 743-2,,9,35.4754558,128.7611893
2,경남,가산파크골프장,경상남도 양산시 동면 가산리807,,36,35.2963813,129.0185656
3,대구,가창파크골프장,대구광역시 달성군 가창면 대일리 342(가창체육공원 대일교차로),,18,35.7671914,128.6503027
4,경기,가평파크골프장,경기도 가평군 청평면 대성리 388-13,"28,052",36,37.6920324,127.3839906
5,경북,강남파크골프장,경상북도 안동시 정상동 779,,27,36.5524095,128.7480853
6,서울,강동파크골프장,"서울특별시 강동구 천호동 481-6 (한강고수부지, 광진교)",,9,37.5423119,127.1169914
7,강원,강릉파크골프장,강원도 강릉시 입암동 572-3번지,,18,37.7592736,128.9102387
8,대구,강변파크골프장,대구광역시 북구 서변동 1506 강변축구장 옆,,45,35.9079367,128.5878689
9,대구,강창파크골프장,대구광역시 달성군 다사읍 매곡리 91,,18,35.8575043,128.4715815
10,제주,강창학파크골프장,제주특별자치도 서귀포시 강정동 1353,,18,33.2573135,126.4996953
11,경남,거제파크골프장,경상남도 거제시 거제면 스포츠파크내,,27,000,000
12,경남,거창강변파크골프장(3구장),경상남도 거창군 거창읍 대평리 강변,,18,000,000
13,경남,거창파크골프장(제1구장),경상남도 거창군 거창읍 심소정길 39-36,,18,35.6937341,127.9284810
14,경남,거창파크골프장(제2구장),경상남도 거창군 심소정길 39-36,,18,35.6937341,127.9284810
15,경남,거창파크골프장(제4구장),경상남도 거창군 거창읍 심소정길 강변,,18,000,000
16,경남,거창파크골프장(제6구장),경상남도 거창군 가조면 일부리 1121-1,,9,35.7010951,128.0193371
17,경북,경산파크골프장,경상북도 경산시 강변동로 369,,18,35.8413282,128.7279295
18,경북,경주파크골프장,경상북도 경주시 석장동1169-1,,18,35.8523589,129.1986730
19,충남,계룡시파크골프장,충청남도 계룡시 신도안면 정장리 6 ,,18,36.3031269,127.2376532
20,전남,고금파크골프장,전남 완도군 고금면 농산리 759-1,,9,000,000
21,대구,고로파크골프장,대구광역시 군위군 삼국유사면 석산리 560,,18,36.1740672,128.8533591
